Cluster-1	total=29	enrichmentScore=3.0701007774592215	phaseStdDev=2.005629377762261	"Mitochondrion,Transit peptide,MitochondrionAnnotation Cluster 1"	Enrichment Score: 3.0701007774592215								
FBtr0308841	l(2)01289-RL	0.263295	0.051356	19.4	FlyBase l(2)01289-RL	Figure for l(2)01289-RL							
FBtr0087870	nemy-RB	2.370145	0.009609	6.4	FlyBase nemy-RB	Figure for nemy-RB							
FBtr0301812	CG41128-RB	0.012339	0.044794	19.9	FlyBase CG41128-RB	Figure for CG41128-RB							
FBtr0076106	CG32091-RB	1.192504	0.013115	19.8	FlyBase CG32091-RB	Figure for CG32091-RB							
FBtr0089084	Eph-RC	-0.361779	0.049729	19.1	FlyBase Eph-RC	Figure for Eph-RC							
FBtr0078507	CG11425-RA	2.463174	0.009609	5.1	FlyBase CG11425-RA	Figure for CG11425-RA							
FBtr0339612	CG12290-RB	0.679912	0.03296	9.7	FlyBase CG12290-RB	Figure for CG12290-RB							
FBtr0085551	Tace-RA	1.239449	0.017597	23.9	FlyBase Tace-RA	Figure for Tace-RA							
FBtr0343486	pio-RE	1.184806	0.03296	5.7	FlyBase pio-RE	Figure for pio-RE							
FBtr0081638	Dpck-RA	1.274237	0.037522	21.9	FlyBase Dpck-RA	Figure for Dpck-RA							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
FBtr0089056	Cyp9b1-RA	1.64049	0.018529	4.7	FlyBase Cyp9b1-RA	Figure for Cyp9b1-RA							
FBtr0084017	meigo-RA	1.051417	0.023178	0.8	FlyBase meigo-RA	Figure for meigo-RA							
FBtr0332356	CG42817-RB	1.358187	0.03836	7.7	FlyBase CG42817-RB	Figure for CG42817-RB							
FBtr0290138	CG42235-RE	1.316517	0.021439	0.9	FlyBase CG42235-RE	Figure for CG42235-RE							
FBtr0332212	qtc-RI	0.743231	0.051123	1.2	FlyBase qtc-RI	Figure for qtc-RI							
FBtr0086044	Gp210-RA	1.228789	0.011589	17.4	FlyBase Gp210-RA	Figure for Gp210-RA							
FBtr0084629	Golgin84-RA	0.754513	0.043959	23.4	FlyBase Golgin84-RA	Figure for Golgin84-RA							
FBtr0346633	fdl-RF	1.108671	0.03782	20.4	FlyBase fdl-RF	Figure for fdl-RF							
FBtr0336459	CG31145-RF	2.612241	0.005379	19.5	FlyBase CG31145-RF	Figure for CG31145-RF							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0079638	CG8475-RA	1.155578	0.035105	0.6	FlyBase CG8475-RA	Figure for CG8475-RA							
FBtr0087869	nemy-RC	0.338843	0.050058	18.9	FlyBase nemy-RC	Figure for nemy-RC							
FBtr0072923	CG1146-RA	0.735875	0.03836	19.3	FlyBase CG1146-RA	Figure for CG1146-RA							
FBtr0300434	Flo2-RG	2.406265	0.014377	22	FlyBase Flo2-RG	Figure for Flo2-RG							
FBtr0345609	Cyp4d2-RB	1.597683	0.029757	7.7	FlyBase Cyp4d2-RB	Figure for Cyp4d2-RB							
FBtr0344874	Ekar-RD	0.611627	0.043959	21.1	FlyBase Ekar-RD	Figure for Ekar-RD							
FBtr0081257	CG13077-RA	1.306587	0.03296	0.4	FlyBase CG13077-RA	Figure for CG13077-RA							
FBtr0331635	CG5853-RB	0.200863	0.03836	16.9	FlyBase CG5853-RB	Figure for CG5853-RB							
FBtr0071637	Tmtc3-RA	1.98089	0.015683	3.5	FlyBase Tmtc3-RA	Figure for Tmtc3-RA							
FBtr0290024	CG7394-RB	0.539361	NOTEST	20.6	FlyBase CG7394-RB	Figure for CG7394-RB							
FBtr0074335	ppk28-RA	1.390498	0.02037	22.8	FlyBase ppk28-RA	Figure for ppk28-RA							
FBtr0076597	CG32022-RA	1.118799	0.039811	21.1	FlyBase CG32022-RA	Figure for CG32022-RA							
FBtr0081427	CG9336-RA	3.101982	0	21.6	FlyBase CG9336-RA	Figure for CG9336-RA							
FBtr0110834	CG31030-RB	1.202178	0.026614	13.6	FlyBase CG31030-RB	Figure for CG31030-RB							
FBtr0088073	Tret1-1-RA	1.129614	0.038189	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
FBtr0302662	rdgA-RC	0.455241	0.037102	3.1	FlyBase rdgA-RC	Figure for rdgA-RC							
FBtr0089766	Cyp6d5-RA	0.707803	0.039622	18.8	FlyBase Cyp6d5-RA	Figure for Cyp6d5-RA							
FBtr0075338	Rh4-RA	0.700931	0.056233	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0301238	CG9249-RB	0.920443	0.031953	22	FlyBase CG9249-RB	Figure for CG9249-RB							
FBtr0308070	CG10353-RE	1.620763	0.031588	20.5	FlyBase CG10353-RE	Figure for CG10353-RE							
FBtr0345108	Svil-RAA	0.993547	0.034063	19	FlyBase Svil-RAA	Figure for Svil-RAA							
FBtr0300555	PMCA-RJ	0.806711	0.036061	1.3	FlyBase PMCA-RJ	Figure for PMCA-RJ							
FBtr0329872	SLO2-RL	0.806751	0.040404	7.7	FlyBase SLO2-RL	Figure for SLO2-RL							
FBtr0113768	zyd-RA	2.078775	NOTEST	18.6	FlyBase zyd-RA	Figure for zyd-RA							
FBtr0100537	bocks-RB	1.323857	0.008018	7	FlyBase bocks-RB	Figure for bocks-RB							
FBtr0081016	CadN-RE	1.15022	0.038189	11.6	FlyBase CadN-RE	Figure for CadN-RE							
FBtr0078135	CG3625-RA	0.416235	0.055217	23	FlyBase CG3625-RA	Figure for CG3625-RA							
FBtr0331505	CG43778-RD	1.376104	0.015683	10.9	FlyBase CG43778-RD	Figure for CG43778-RD							
FBtr0079251	Cpr-RB	1.426223	0.022309	21.6	FlyBase Cpr-RB	Figure for Cpr-RB							
FBtr0339571	Dot-RB	1.714751	0.022309	20.1	FlyBase Dot-RB	Figure for Dot-RB							
FBtr0085571	CG9743-RA	2.372364	0	3.8	FlyBase CG9743-RA	Figure for CG9743-RA							
FBtr0088699	Acsl-RA	2.329026	0.009609	10.5	FlyBase Acsl-RA	Figure for Acsl-RA							
FBtr0079128	CG7277-RA	1.055386	0.017597	22.9	FlyBase CG7277-RA	Figure for CG7277-RA							
FBtr0334873	Cnx99A-RE	1.496956	0.011589	17.4	FlyBase Cnx99A-RE	Figure for Cnx99A-RE							
FBtr0334870	Orct-RB	0.854237	0.037102	4.1	FlyBase Orct-RB	Figure for Orct-RB							
FBtr0072130	TM4SF-RA	1.565465	0.018529	0.8	FlyBase TM4SF-RA	Figure for TM4SF-RA							
FBtr0074385	CG4991-RA	0.824708	0.032438	20.7	FlyBase CG4991-RA	Figure for CG4991-RA							
FBtr0082596	Scgbeta-RA	1.622561	0.032438	23.1	FlyBase Scgbeta-RA	Figure for Scgbeta-RA							
FBtr0086580	CG15111-RB	1.530047	0.019558	5.6	FlyBase CG15111-RB	Figure for CG15111-RB							
FBtr0089771	tinc-RA	1.942655	0.014377	1.9	FlyBase tinc-RA	Figure for tinc-RA							
FBtr0085694	aralar1-RA	2.616683	0.013115	3.9	FlyBase aralar1-RA	Figure for aralar1-RA							
FBtr0073725	CG32645-RB	0.577445	0.050058	1.6	FlyBase CG32645-RB	Figure for CG32645-RB							
FBtr0342919	CG17321-RB	0.846411	0.047189	6.6	FlyBase CG17321-RB	Figure for CG17321-RB							
FBtr0079841	GlcAT-S-RA	0.72181	0.036727	3.6	FlyBase GlcAT-S-RA	Figure for GlcAT-S-RA							
FBtr0075322	Nrt-RB	0.489232	0.043022	9.6	FlyBase Nrt-RB	Figure for Nrt-RB							
FBtr0084648	Esyt2-RB	1.338505	0.027401	3.9	FlyBase Esyt2-RB	Figure for Esyt2-RB							
													
Cluster-25	total=11	enrichmentScore=0.6357153541028493	phaseStdDev=5.340828746007077	"N-glycan processing,protein deglycosylation,Other glycan degradation,Glycosidase,Lysosome,Glycoside hydrolase, catalytic domain,Glycoside hydrolase, superfamilyAnnotation Cluster 25"	Enrichment Score: 0.6357153541028493								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
GOTERM_BP_DIRECT	GO:0006491~N-glycan processing	5	0.720461095	0.007652983	-1.215831	3.506521698	"FBtr0073235, FBtr0346633, FBtr0331759, FBtr0074432, FBtr0300774, FBtr0084755"	566	16	10996	6.071113074	0.999971218	1
GOTERM_BP_DIRECT	GO:0006517~protein deglycosylation	3	0.432276657	0.159741563	-0.0576085	3.609850272	"FBtr0073235, FBtr0346633, FBtr0074432, FBtr0300774"	566	14	10996	4.163048965	1	1
KEGG_PATHWAY	dme00511:Other glycan degradation	4	0.576368876	0.168462283	-1.1718402	3.923119207	"FBtr0073235, FBtr0306022, FBtr0346633, FBtr0074432, FBtr0300774"	179	22	2737	2.780091417	0.99999998	1
UP_KEYWORDS	Glycosidase	7	1.008645533	0.38900322	-1.988393375	3.345853939	"FBtr0073235, FBtr0306022, FBtr0346633, FBtr0308245, FBtr0331759, FBtr0307491, FBtr0074432, FBtr0300774"	694	101	13921	1.390233116	1	0.948
KEGG_PATHWAY	dme04142:Lysosome	6	0.864553314	0.735023608	0.285519571	5.84354037	"FBtr0073235, FBtr0306022, FBtr0334310, FBtr0346633, FBtr0308245, FBtr0075143, FBtr0300774"	179	93	2737	0.986484051	1	1
INTERPRO	"IPR013781:Glycoside hydrolase, catalytic domain"	3	0.432276657	0.744003305	-2.86386725	2.218964331	"FBtr0073235, FBtr0306022, FBtr0346633, FBtr0300774"	611	47	10984	1.147473622	1	1
INTERPRO	"IPR017853:Glycoside hydrolase, superfamily"	3	0.432276657	0.809863495	-2.86386725	2.218964331	"FBtr0073235, FBtr0306022, FBtr0346633, FBtr0300774"	611	54	10984	0.998727041	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0306022	beta-Man-RD	0.696596	NOTEST	18.4	FlyBase beta-Man-RD	Figure for beta-Man-RD							
FBtr0075143	CG7402-RA	1.121751	0.042263	7.5	FlyBase CG7402-RA	Figure for CG7402-RA							
FBtr0073235	Hexo1-RA	0.927932	0	21.2	FlyBase Hexo1-RA	Figure for Hexo1-RA							
FBtr0307491	GCS1-RC	1.307908	0.014377	20.4	FlyBase GCS1-RC	Figure for GCS1-RC							
FBtr0334310	Lerp-RE	0.851315	0.037102	10.5	FlyBase Lerp-RE	Figure for Lerp-RE							
FBtr0084755	beta4GalT7-RA	1.136946	0.03296	18.8	FlyBase beta4GalT7-RA	Figure for beta4GalT7-RA							
FBtr0308245	CG3376-RC	1.113343	0.015683	19.5	FlyBase CG3376-RC	Figure for CG3376-RC							
FBtr0300774	Hexo1-RE	1.273547	0.040599	0.5	FlyBase Hexo1-RE	Figure for Hexo1-RE							
FBtr0074432	CG5613-RB	0.992714	0.045606	5.6	FlyBase CG5613-RB	Figure for CG5613-RB							
FBtr0331759	alpha-Man-Ia-RP	0.705316	0.048262	22.1	FlyBase alpha-Man-Ia-RP	Figure for alpha-Man-Ia-RP							
FBtr0346633	fdl-RF	1.108671	0.03782	20.4	FlyBase fdl-RF	Figure for fdl-RF							
													
Cluster-26	total=9	enrichmentScore=0.616006226207329	phaseStdDev=4.68732226695463	"Fatty acid degradation,Fatty acid metabolism,PeroxisomeAnnotation Cluster 26"	Enrichment Score: 0.616006226207329								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
KEGG_PATHWAY	dme00071:Fatty acid degradation	5	0.720461095	0.12670395	1.9126042	5.909648139	"FBtr0079263, FBtr0088699, FBtr0071607, FBtr0075078, FBtr0100589"	179	30	2737	2.548417132	0.999997754	1
KEGG_PATHWAY	dme01212:Fatty acid metabolism	6	0.864553314	0.133664583	2.517774833	4.443701345	"FBtr0088699, FBtr0335387, FBtr0085571, FBtr0071607, FBtr0075078, FBtr0339954"	179	42	2737	2.184357542	0.999998958	1
KEGG_PATHWAY	dme04146:Peroxisome	4	0.576368876	0.837866486	3.149886	4.94475788	"FBtr0088699, FBtr0089939, FBtr0071607, FBtr0075078"	179	69	2737	0.886405959	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0079263	CG9547-RA	0.984966	0.013115	18.5	FlyBase CG9547-RA	Figure for CG9547-RA							
FBtr0071607	Acox57D-d-RA	0.712568	0.03782	20.8	FlyBase Acox57D-d-RA	Figure for Acox57D-d-RA							
FBtr0075078	CG3961-RC	1.245203	0.023178	1.5	FlyBase CG3961-RC	Figure for CG3961-RC							
FBtr0085571	CG9743-RA	2.372364	0	3.8	FlyBase CG9743-RA	Figure for CG9743-RA							
FBtr0088699	Acsl-RA	2.329026	0.009609	10.5	FlyBase Acsl-RA	Figure for Acsl-RA							
FBtr0100589	Adh-RC	1.038595	0.042001	6.3	FlyBase Adh-RC	Figure for Adh-RC							
FBtr0335387	FASN1-RC	1.288296	0.019558	4	FlyBase FASN1-RC	Figure for FASN1-RC							
FBtr0339954	CG16935-RB	1.030511	0.014377	22.4	FlyBase CG16935-RB	Figure for CG16935-RB							
FBtr0089939	Sod3-RB	1.421341	0	3.8	FlyBase Sod3-RB	Figure for Sod3-RB							
													
Cluster-27	total=52	enrichmentScore=0.6048905246678099	phaseStdDev=5.377250517517676	"Glycoprotein,N-linked (GlcNAc...),Cytoplasmic,Extracellular,transmembrane regionAnnotation Cluster 27"	Enrichment Score: 0.6048905246678099								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_KEYWORDS	Glycoprotein	34	4.899135447	0.06456528	2.016225706	5.069043579	"FBtr0075338, FBtr0100382, FBtr0346633, FBtr0308916, FBtr0331759, FBtr0343641, FBtr0340195, FBtr0089188, FBtr0301484, FBtr0082404, FBtr0074183, FBtr0081016, FBtr0339181, FBtr0083876, FBtr0331760, FBtr0078230, FBtr0334870, FBtr0079001, FBtr0301839, FBtr0075322, FBtr0076433, FBtr0079841, FBtr0071207, FBtr0072954, FBtr0088073, FBtr0074973, FBtr0073942, FBtr0336459, FBtr0089659, FBtr0086119, FBtr0085551, FBtr0085373, FBtr0333835, FBtr0071637"	694	503	13921	1.355881999	0.999999947	0.502084583
UP_SEQ_FEATURE	glycosylation site:N-linked (GlcNAc...)	31	4.46685879	0.254163446	2.205226935	5.065526548	"FBtr0075338, FBtr0100382, FBtr0346633, FBtr0308916, FBtr0331759, FBtr0340195, FBtr0089188, FBtr0301484, FBtr0082404, FBtr0074183, FBtr0081016, FBtr0083876, FBtr0331760, FBtr0078230, FBtr0334870, FBtr0079001, FBtr0301839, FBtr0075322, FBtr0076433, FBtr0079841, FBtr0071207, FBtr0072954, FBtr0074973, FBtr0073942, FBtr0089659, FBtr0086119, FBtr0085551, FBtr0085373, FBtr0333835, FBtr0071637, FBtr0082181"	196	423	3113	1.163976938	1	1
UP_SEQ_FEATURE	topological domain:Cytoplasmic	28	4.034582133	0.351017287	2.847178643	5.88967226	"FBtr0071035, FBtr0075338, FBtr0100382, FBtr0331759, FBtr0340195, FBtr0301484, FBtr0084629, FBtr0085513, FBtr0081016, FBtr0083876, FBtr0300178, FBtr0336699, FBtr0331760, FBtr0084399, FBtr0078230, FBtr0334870, FBtr0088473, FBtr0072417, FBtr0075322, FBtr0076433, FBtr0079841, FBtr0071207, FBtr0331389, FBtr0070070, FBtr0089659, FBtr0086119, FBtr0085551, FBtr0333835"	196	397	3113	1.120187118	1	1
UP_SEQ_FEATURE	topological domain:Extracellular	22	3.170028818	0.396459717	4.336294955	5.410347232	"FBtr0071035, FBtr0075338, FBtr0100382, FBtr0340195, FBtr0070070, FBtr0301484, FBtr0085513, FBtr0081016, FBtr0300178, FBtr0083876, FBtr0336699, FBtr0331760, FBtr0085551, FBtr0078230, FBtr0334870, FBtr0333835, FBtr0088473, FBtr0072417, FBtr0075322, FBtr0071207, FBtr0076433, FBtr0331389"	196	312	3113	1.119930665	1	1
UP_SEQ_FEATURE	transmembrane region	38	5.475504323	0.413911672	2.018600342	5.56580261	"FBtr0071035, FBtr0075338, FBtr0100382, FBtr0082909, FBtr0331759, FBtr0340195, FBtr0301484, FBtr0084629, FBtr0085513, FBtr0081016, FBtr0083876, FBtr0300178, FBtr0336699, FBtr0331760, FBtr0084399, FBtr0078230, FBtr0334870, FBtr0088473, FBtr0072417, FBtr0075322, FBtr0076433, FBtr0075542, FBtr0079841, FBtr0071207, FBtr0331389, FBtr0072117, FBtr0074973, FBtr0070070, FBtr0084017, FBtr0089659, FBtr0086119, FBtr0085694, FBtr0085551, FBtr0085373, FBtr0333835, FBtr0071637, FBtr0290024, FBtr0076822"	196	566	3113	1.066326531	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0079001	Col4a1-RC	0.72329	NOTEST	4.8	FlyBase Col4a1-RC	Figure for Col4a1-RC							
FBtr0089659	Sh-RA	0.790605	0.040178	17.3	FlyBase Sh-RA	Figure for Sh-RA							
FBtr0074183	PGRP-LE-RA	1.883257	0.015683	1.4	FlyBase PGRP-LE-RA	Figure for PGRP-LE-RA							
FBtr0085513	trp-RA	2.500768	0.011589	18.4	FlyBase trp-RA	Figure for trp-RA							
FBtr0340195	sdk-RG	0.716121	0.058421	7.8	FlyBase sdk-RG	Figure for sdk-RG							
FBtr0071207	Nrg-RA	0.50197	0.057192	7.1	FlyBase Nrg-RA	Figure for Nrg-RA							
FBtr0074973	Shal-RA	1.551797	0.015683	19.8	FlyBase Shal-RA	Figure for Shal-RA							
FBtr0082909	140up-RA	0.742961	0.031953	0.7	FlyBase 140up-RA	Figure for 140up-RA							
FBtr0336699	olf186-F-RG	0.235081	0.024683	21.7	FlyBase olf186-F-RG	Figure for olf186-F-RG							
FBtr0085373	Ctl2-RC	1.352779	0.016774	5.9	FlyBase Ctl2-RC	Figure for Ctl2-RC							
FBtr0082404	ninaG-RA	1.358534	0.031037	21.7	FlyBase ninaG-RA	Figure for ninaG-RA							
FBtr0331759	alpha-Man-Ia-RP	0.705316	0.048262	22.1	FlyBase alpha-Man-Ia-RP	Figure for alpha-Man-Ia-RP							
FBtr0084399	fzo-RA	1.09296	0.041225	15.2	FlyBase fzo-RA	Figure for fzo-RA							
FBtr0071637	Tmtc3-RA	1.98089	0.015683	3.5	FlyBase Tmtc3-RA	Figure for Tmtc3-RA							
FBtr0100382	nrv2-RF	1.287082	0.025327	23.8	FlyBase nrv2-RF	Figure for nrv2-RF							
FBtr0290024	CG7394-RB	0.539361	NOTEST	20.6	FlyBase CG7394-RB	Figure for CG7394-RB							
FBtr0083876	Rh3-RA	1.037006	0	18.9	FlyBase Rh3-RA	Figure for Rh3-RA							
FBtr0072117	bw-RA	1.963185	0	22.1	FlyBase bw-RA	Figure for bw-RA							
FBtr0076822	CG7506-RA	0.881652	0.03296	21.2	FlyBase CG7506-RA	Figure for CG7506-RA							
FBtr0078230	CG5262-RA	1.348091	0.040599	5.3	FlyBase CG5262-RA	Figure for CG5262-RA							
FBtr0088073	Tret1-1-RA	1.129614	0.038189	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
FBtr0086119	PGAP3-RB	1.132166	0.02813	22.7	FlyBase PGAP3-RB	Figure for PGAP3-RB							
FBtr0331389	Drip-RE	0.888896	0.031588	11.6	FlyBase Drip-RE	Figure for Drip-RE							
FBtr0075338	Rh4-RA	0.700931	0.056233	18	FlyBase Rh4-RA	Figure for Rh4-RA							
FBtr0076433	PGRP-LA-RC	0.842392	0.049238	3.8	FlyBase PGRP-LA-RC	Figure for PGRP-LA-RC							
FBtr0088473	trpl-RB	1.302533	0.033575	9.2	FlyBase trpl-RB	Figure for trpl-RB							
FBtr0346633	fdl-RF	1.108671	0.03782	20.4	FlyBase fdl-RF	Figure for fdl-RF							
FBtr0071035	Inx7-RA	0.790828	0.052189	6.7	FlyBase Inx7-RA	Figure for Inx7-RA							
FBtr0081016	CadN-RE	1.15022	0.038189	11.6	FlyBase CadN-RE	Figure for CadN-RE							
FBtr0331760	sog-RB	1.141983	0.023884	6.6	FlyBase sog-RB	Figure for sog-RB							
FBtr0082181	Invadolysin-RA	2.393776	0.014377	2	FlyBase Invadolysin-RA	Figure for Invadolysin-RA							
FBtr0308916	CG3556-RB	0.778733	0.046042	3.8	FlyBase CG3556-RB	Figure for CG3556-RB							
FBtr0301839	Ppn-RG	1.260023	0.02813	21.6	FlyBase Ppn-RG	Figure for Ppn-RG							
FBtr0085694	aralar1-RA	2.616683	0.013115	3.9	FlyBase aralar1-RA	Figure for aralar1-RA							
FBtr0089188	apolpp-RA	1.746946	0.023178	11.7	FlyBase apolpp-RA	Figure for apolpp-RA							
FBtr0085551	Tace-RA	1.239449	0.017597	23.9	FlyBase Tace-RA	Figure for Tace-RA							
FBtr0339181	Sp7-RF	0.569963	0.039811	1.9	FlyBase Sp7-RF	Figure for Sp7-RF							
FBtr0072954	Pxn-RE	0.910893	0.027401	19.5	FlyBase Pxn-RE	Figure for Pxn-RE							
FBtr0334870	Orct-RB	0.854237	0.037102	4.1	FlyBase Orct-RB	Figure for Orct-RB							
FBtr0301484	Octbeta1R-RC	3.182866	0	0.8	FlyBase Octbeta1R-RC	Figure for Octbeta1R-RC							
FBtr0300178	gol-RC	0.538906	0.040404	11.3	FlyBase gol-RC	Figure for gol-RC							
FBtr0084017	meigo-RA	1.051417	0.023178	0.8	FlyBase meigo-RA	Figure for meigo-RA							
FBtr0070070	Or1a-RA	1.004518	0.040404	7.8	FlyBase Or1a-RA	Figure for Or1a-RA							
FBtr0072417	pain-RA	0.786701	0.023178	6.1	FlyBase pain-RA	Figure for pain-RA							
FBtr0336459	CG31145-RF	2.612241	0.005379	19.5	FlyBase CG31145-RF	Figure for CG31145-RF							
FBtr0084629	Golgin84-RA	0.754513	0.043959	23.4	FlyBase Golgin84-RA	Figure for Golgin84-RA							
FBtr0343641	Ance-3-RC	0.506293	0.048926	6.6	FlyBase Ance-3-RC	Figure for Ance-3-RC							
FBtr0073942	NetA-RA	1.200578	0.048262	7.7	FlyBase NetA-RA	Figure for NetA-RA							
FBtr0333835	Rdl-RF	1.63565	0.008018	5.4	FlyBase Rdl-RF	Figure for Rdl-RF							
FBtr0079841	GlcAT-S-RA	0.72181	0.036727	3.6	FlyBase GlcAT-S-RA	Figure for GlcAT-S-RA							
FBtr0075542	fwe-RA	0.099005	0.033575	18.5	FlyBase fwe-RA	Figure for fwe-RA							
FBtr0075322	Nrt-RB	0.489232	0.043022	9.6	FlyBase Nrt-RB	Figure for Nrt-RB							
													
Cluster-28	total=4	enrichmentScore=0.5272513115531029	phaseStdDev=1.7749620186367894	"Aminoacyl-tRNA synthetase, class II,Aminoacyl-tRNA synthetase,Aminoacyl-tRNA biosynthesisAnnotation Cluster 28"	Enrichment Score: 0.5272513115531029								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	"IPR006195:Aminoacyl-tRNA synthetase, class II"	3	0.432276657	0.180646271	-1.221424667	1.818312921	"FBtr0080331, FBtr0081162, FBtr0087594"	611	14	10984	3.852232874	1	1
UP_KEYWORDS	Aminoacyl-tRNA synthetase	4	0.576368876	0.186000881	-0.74856325	1.774962019	"FBtr0345640, FBtr0080331, FBtr0081162, FBtr0087594"	694	30	13921	2.674543708	1	0.907851643
KEGG_PATHWAY	dme00970:Aminoacyl-tRNA biosynthesis	4	0.576368876	0.779654271	-0.74856325	1.774962019	"FBtr0345640, FBtr0080331, FBtr0081162, FBtr0087594"	179	62	2737	0.986484051	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0080331	ThrRS-RB	1.11747	0.013115	20.7	FlyBase ThrRS-RB	Figure for ThrRS-RB							
FBtr0345640	LeuRS-RB	0.976584	0.042263	0.7	FlyBase LeuRS-RB	Figure for LeuRS-RB							
FBtr0087594	PheRS-m-RA	1.817156	0.008018	22.5	FlyBase PheRS-m-RA	Figure for PheRS-m-RA							
FBtr0081162	AsnRS-RA	1.068807	0.037102	1.1	FlyBase AsnRS-RA	Figure for AsnRS-RA							
													
Cluster-29	total=13	enrichmentScore=0.5038456813596983	phaseStdDev=6.495907355900984	"General substrate transporter,transmembrane transporter activity,Sugar transporter, conserved site,Major facilitator superfamily domainAnnotation Cluster 29"	Enrichment Score: 0.5038456813596983								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
INTERPRO	IPR005828:General substrate transporter	6	0.864553314	0.228907631	-0.849511333	5.485002324	"FBtr0071014, FBtr0083278, FBtr0334870, FBtr0088073, FBtr0083810, FBtr0084601"	611	59	10984	1.828178313	1	1
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	7	1.008645533	0.327439163	10.10061443	6.119767901	"FBtr0083278, FBtr0085694, FBtr0334870, FBtr0071590, FBtr0071777, FBtr0083810, FBtr0084601"	507	86	9284	1.490482088	1	1
INTERPRO	"IPR005829:Sugar transporter, conserved site"	4	0.576368876	0.338511961	18.27441925	5.147380409	"FBtr0071014, FBtr0083278, FBtr0305317, FBtr0088073"	611	37	10984	1.943468837	1	1
INTERPRO	IPR020846:Major facilitator superfamily domain	12	1.729106628	0.380410384	-0.67276625	6.642989868	"FBtr0071014, FBtr0082099, FBtr0087533, FBtr0345005, FBtr0083278, FBtr0334870, FBtr0071590, FBtr0305317, FBtr0088073, FBtr0071777, FBtr0083810, FBtr0084601"	611	175	10984	1.23271452	1	1
GeneID	Symbol	RP24	q-value	Phase	FlybaseLink	Figure							
FBtr0085694	aralar1-RA	2.616683	0.013115	3.9	FlyBase aralar1-RA	Figure for aralar1-RA							
FBtr0083810	CG6231-RA	1.790974	0.023884	15.1	FlyBase CG6231-RA	Figure for CG6231-RA							
FBtr0087533	CG8468-RA	0.855606	0.049238	13.8	FlyBase CG8468-RA	Figure for CG8468-RA							
FBtr0088073	Tret1-1-RA	1.129614	0.038189	22.3	FlyBase Tret1-1-RA	Figure for Tret1-1-RA							
FBtr0083278	CG6126-RA	0.281315	0.047189	21.1	FlyBase CG6126-RA	Figure for CG6126-RA							
FBtr0071777	Oatp58Dc-RA	0.73369	0.048636	5.1	FlyBase Oatp58Dc-RA	Figure for Oatp58Dc-RA							
FBtr0082099	CG9444-RA	0.583964	0.048262	4.3	FlyBase CG9444-RA	Figure for CG9444-RA							
FBtr0345005	CG13907-RB	1.037186	0.044794	23	FlyBase CG13907-RB	Figure for CG13907-RB							
FBtr0305317	CG30345-RB	0.938998	0.02585	9.4	FlyBase CG30345-RB	Figure for CG30345-RB							
FBtr0084601	CG6356-RA	1.256976	0.03782	8	FlyBase CG6356-RA	Figure for CG6356-RA							
FBtr0071014	CG4607-RB	1.12707	0.011589	20.3	FlyBase CG4607-RB	Figure for CG4607-RB							
FBtr0334870	Orct-RB	0.854237	0.037102	4.1	FlyBase Orct-RB	Figure for Orct-RB							
FBtr0071590	MFS16-RB	0.800933	0.042263	13.4	FlyBase MFS16-RB	Figure for MFS16-RB							
													
Cluster-30	total=9	enrichmentScore=0.47707587919776295	phaseStdDev=2.9231071451662825	"Zinc; catalytic,Metalloprotease,metallopeptidase activity,ProteaseAnnotation Cluster 30"	Enrichment Score: 0.47707587919776295								
category	term	count	percent	pValue	avgPhase	phaseStdDev	transcriptList	total	popHits	popTotal	foldChange	bonfer	FDR
UP_SEQ_FEATURE	metal ion-binding site:Zinc; catalytic	3	0.432276657	0.126134833	-0.894698667	2.739085516	"FBtr0085551, FBtr0083292, FBtr0082181"	196	10	3113	4.764795918	1	1
UP_KEYWORDS	Metalloprotease	6	0.864553314	0.129910201	0.5086595	3.36484655	"FBtr0088879, FBtr0082245, FBtr0085551, FBtr0343641, FBtr0083292, FBtr0082181"	694	54	13921	2.228786423	1	0.768953816
